epochs	Dclass	acc	acc_std	ari	ari_std
3000	TF:3	0.943104	0.001951539976	0.8684998503	0.004004562538
3100	TF:3	0.94232	0.001938285465	0.8668688789	0.003980603371
3200	TF:3	0.938328	0.002018497195	0.8585315235	0.004069872022
3300	TF:3	0.94056	0.002001626486	0.8639076746	0.004017774921
3400	TF:3	0.935088	0.002101067699	0.8519908714	0.004228560663
3500	TF:3	0.93504	0.002205177367	0.8520544436	0.004500885192
3600	TF:3	0.940464	0.001964419953	0.8623259691	0.004015852941
3700	TF:3	0.936208	0.002030451281	0.8530253936	0.004150726323
3800	TF:3	0.939576	0.002015833433	0.8609070283	0.004090586658
3900	TF:3	0.93952	0.00201135145	0.8614731031	0.004048981872
4000	TF:3	0.93996	0.002069057349	0.8625584591	0.004165592057
4100	TF:3	0.937448	0.002213760193	0.8581503396	0.004354090035
4200	TF:3	0.937016	0.002156586232	0.8566321335	0.004244594582
4300	TF:3	0.940816	0.001928574921	0.8627472145	0.004037505917
4400	TF:3	0.937504	0.002172379946	0.85723836	0.004365316089
4500	TF:3	0.942776	0.001868075295	0.8672114874	0.003884495606
4600	TF:3	0.940816	0.001995331441	0.8628895596	0.004179721747
4700	TF:3	0.938064	0.002006695729	0.857721173	0.00410294566
4800	TF:3	0.941568	0.00188315669	0.8635804843	0.003978297558
4900	TF:3	0.94124	0.001967971925	0.8645408762	0.004069501222
5000	TF:3	0.937984	0.002012332763	0.8577784801	0.004103285188
5100	TF:3	0.936944	0.00213860466	0.856703488	0.004254583216
5200	TF:3	0.938928	0.002079609992	0.8596134632	0.00425263019
5300	TF:3	0.9428	0.00195703357	0.8682104908	0.00399988137
5400	TF:3	0.93968	0.002056787357	0.8620546172	0.004124328817
5500	TF:3	0.943728	0.001993436562	0.8714790068	0.003937034187
5600	TF:3	0.9452	0.001847679359	0.8727565402	0.003799824939
5700	TF:3	0.942256	0.0021291765	0.8689007326	0.004313013521
5800	TF:3	0.9408	0.001944349807	0.8635214111	0.004004095718
5900	TF:3	0.9414	0.001974551112	0.8659108719	0.004031952878
6000	TF:3	0.948888	0.001811229089	0.8805559782	0.00380553413
6100	TF:3	0.941024	0.002066465172	0.8659531598	0.00413047536
6200	TF:3	0.941016	0.002000058201	0.8652807655	0.004080430672
6300	TF:3	0.943832	0.001904643569	0.8698112095	0.003970880301
6400	TF:3	0.942672	0.002016291435	0.8682105776	0.004102587913
6500	TF:3	0.942592	0.002016940417	0.8675497617	0.004167312898
6600	TF:3	0.940608	0.002044561709	0.8638357786	0.004135324999
6700	TF:3	0.946608	0.00192046789	0.8774752224	0.003854940547
6800	TF:3	0.946424	0.001923541212	0.8757545014	0.003994975125
6900	TF:3	0.945536	0.001853762172	0.8731310069	0.003918430121
7000	TF:3	0.944696	0.001918164345	0.872084563	0.003971713379
7100	TF:3	0.937392	0.002243541498	0.8591972336	0.004417969641
7200	TF:3	0.944576	0.001927252483	0.8726276273	0.003943091984
7300	TF:3	0.946976	0.001954947136	0.8771587791	0.004070076211
7400	TF:3	0.94352	0.001974913278	0.8710248715	0.003982350339
7500	TF:3	0.944528	0.002033221628	0.8730059137	0.004102495768
7600	TF:3	0.942736	0.001936560756	0.8676746682	0.003940378487
7700	TF:3	0.944736	0.001944464671	0.8723969476	0.003979989424
7800	TF:3	0.9438	0.00210630753	0.8728080347	0.004125641982
7900	TF:3	0.946264	0.001941293651	0.8769067787	0.003915741318
8000	TF:3	0.947136	0.001855041977	0.8770189354	0.003936521663
8100	TF:3	0.949176	0.001846730186	0.8820255403	0.003774429297
8200	TF:3	0.948176	0.001924253334	0.8815766172	0.003838728863
8300	TF:3	0.943912	0.002109496098	0.8731293499	0.004139233403
8400	TF:3	0.941816	0.002010606408	0.8671536253	0.004051428915
8500	TF:3	0.94408	0.002063395954	0.8713912255	0.00418065508
8600	TF:3	0.947432	0.001927677637	0.8783506526	0.00394085439
8700	TF:3	0.9432	0.002135630819	0.8696055797	0.004322930922
8800	TF:3	0.943064	0.001830499387	0.8672247102	0.00382668465
8900	TF:3	0.94332	0.001985205087	0.8703050336	0.003978870306
9000	TF:3	0.93936	0.002207587515	0.862598589	0.004429138026
9100	TF:3	0.94864	0.00183447041	0.8805092813	0.003758274999
9200	TF:3	0.94796	0.001965819054	0.881133391	0.00390294593
9300	TF:3	0.944424	0.001954369653	0.8726373382	0.003961509667
9400	TF:3	0.936888	0.002255305946	0.8584048725	0.004357299603
9500	TF:3	0.941888	0.001961602339	0.8667554307	0.003958199754
9600	TF:3	0.94944	0.001789195506	0.8819722119	0.003748700305
9700	TF:3	0.944512	0.001907584371	0.8716165914	0.00393997554
9800	TF:3	0.94472	0.002023809943	0.8737121838	0.003979923249
9900	TF:3	0.945088	0.002027665008	0.8745957911	0.003987122972
10000	TF:3	0.945936	0.001900927063	0.8753460369	0.003931196965
100	Na:3	0.266336	0.002176457719	0.04168745453	0.001391052537
200	Na:3	0.342344	0.002625826411	0.1227137022	0.002530543529
300	Na:3	0.32752	0.00273241666	0.1111889922	0.002354876795
400	Na:3	0.34188	0.002813928235	0.1204788975	0.002380941778
500	Na:3	0.339608	0.002740669932	0.1175510765	0.002200727698
600	Na:3	0.379128	0.002799162221	0.1616372657	0.002439033294
700	Na:3	0.376728	0.003093927529	0.156188338	0.002682515517
800	Na:3	0.401064	0.003155611062	0.1805422392	0.002895596379
900	Na:3	0.423056	0.003442172172	0.218126377	0.003105004071
1000	Na:3	0.460056	0.003507051414	0.2497994104	0.003517498215
1100	Na:3	0.472648	0.003581108083	0.2615717836	0.003586615252
1200	Na:3	0.503104	0.00392003114	0.2905452766	0.003971546819
1300	Na:3	0.5624	0.004265955577	0.3411763631	0.004551260451
1400	Na:3	0.635584	0.004488733075	0.4112038486	0.005236172412
1500	Na:3	0.69444	0.00451769912	0.4809752631	0.005538881491
1600	Na:3	0.743448	0.004419102567	0.5400678845	0.005873334169
1700	Na:3	0.780152	0.004330701721	0.592820365	0.006309419716
1800	Na:3	0.793936	0.004110183943	0.6098912663	0.006016501083
1900	Na:3	0.821496	0.003988986334	0.6523600593	0.006140617052
2000	Na:3	0.82892	0.003630490001	0.6615416184	0.005714093453
2100	Na:3	0.842464	0.003814168666	0.6918711321	0.005942238482
2200	Na:3	0.836608	0.003996911539	0.6773410739	0.006286759341
2300	Na:3	0.850032	0.003642786639	0.6999330356	0.005918958287
2400	Na:3	0.852128	0.003780216087	0.7062833633	0.006131597142
2500	Na:3	0.860296	0.00371132843	0.7150989534	0.006197225815
2600	Na:3	0.871192	0.003410430704	0.7384295879	0.005681249368
2700	Na:3	0.858776	0.00360428538	0.7150126566	0.005857388915
2800	Na:3	0.87028	0.003461175953	0.7320327448	0.005962227358
2900	Na:3	0.872848	0.003078540534	0.7353987875	0.005375918218
3000	Na:3	0.874312	0.003276742338	0.7389068938	0.005698208186
3100	Na:3	0.8816	0.003150226269	0.752385188	0.005510222114
3200	Na:3	0.87756	0.003319477021	0.7462655954	0.005674874019
3300	Na:3	0.877304	0.003274216188	0.7447940152	0.005705630777
3400	Na:3	0.883496	0.003261221533	0.7574280851	0.005590356656
3500	Na:3	0.85932	0.003607032702	0.7129365987	0.006136058935
3600	Na:3	0.880536	0.0031350758	0.7505611371	0.005458154655
3700	Na:3	0.876608	0.003139348139	0.7404348964	0.005537785323
3800	Na:3	0.888272	0.00298796306	0.7635202838	0.005371486874
3900	Na:3	0.895104	0.002872517096	0.7763845983	0.005111389226
4000	Na:3	0.901528	0.00290440358	0.7879238596	0.005267382035
4100	Na:3	0.888896	0.003143239037	0.7656934234	0.005585120258
4200	Na:3	0.884568	0.003053982953	0.7560015922	0.005411600227
4300	Na:3	0.901472	0.002877752147	0.7864233001	0.005313797548
4400	Na:3	0.896704	0.003090902901	0.7810290571	0.005447313974
4500	Na:3	0.90272	0.002766585104	0.79267968	0.005002689645
4600	Na:3	0.897968	0.002948476685	0.7815786257	0.005300205779
4700	Na:3	0.890624	0.003067976829	0.7695046188	0.005463904546
4800	Na:3	0.902224	0.003005328575	0.7924266989	0.005337777033
4900	Na:3	0.900656	0.002970318729	0.7875077526	0.005451110953
5000	Na:3	0.901384	0.002892113041	0.7887593454	0.005262645527
5100	Na:3	0.90236	0.002773358957	0.7893475743	0.005109424621
5200	Na:3	0.899704	0.002912700543	0.7854805855	0.005272619382
5300	Na:3	0.90672	0.002839310489	0.7979232381	0.005240042967
5400	Na:3	0.909976	0.002801568803	0.8063656936	0.005055722619
5500	Na:3	0.90336	0.002785902595	0.7935444884	0.004959151856
5600	Na:3	0.903688	0.002857126426	0.7928229266	0.005193602544
5700	Na:3	0.90804	0.002766728814	0.8004532689	0.005118616309
5800	Na:3	0.90128	0.002920015596	0.7911135779	0.005288202939
5900	Na:3	0.910224	0.002538202753	0.8050026259	0.004702833894
6000	Na:3	0.920416	0.002557250332	0.8247710999	0.004765094953
6100	Na:3	0.91668	0.002709959353	0.8199614901	0.005022101956
6200	Na:3	0.910968	0.002681053822	0.8063690711	0.005068323553
6300	Na:3	0.91644	0.002466236508	0.8146768454	0.004825878302
6400	Na:3	0.906976	0.002708584334	0.7979134833	0.005067890497
6500	Na:3	0.916528	0.002608517907	0.8173430695	0.004935970568
6600	Na:3	0.915184	0.002697618308	0.8170203152	0.004981661462
6700	Na:3	0.916864	0.002537128222	0.8198392181	0.004696736134
6800	Na:3	0.922424	0.002522225586	0.8285636017	0.00485747237
6900	Na:3	0.91716	0.002629196208	0.8198584032	0.00492182143
7000	Na:3	0.919824	0.002484239801	0.8227755408	0.004799967145
7100	Na:3	0.90956	0.002821916967	0.8050006363	0.005175531206
7200	Na:3	0.91756	0.002538353264	0.8192102354	0.00487741739
7300	Na:3	0.923552	0.002559666912	0.8314811776	0.00486623561
7400	Na:3	0.912656	0.002667325911	0.8113490665	0.004920909649
7500	Na:3	0.9234	0.002571929624	0.8332036028	0.004791055126
7600	Na:3	0.923872	0.002371609953	0.8303239755	0.004599038562
7700	Na:3	0.912064	0.002670437509	0.8084650279	0.005041671537
7800	Na:3	0.923232	0.002577760313	0.8325094731	0.004758013918
7900	Na:3	0.920296	0.002600568246	0.8265394047	0.004912012993
8000	Na:3	0.91968	0.002515436752	0.824368022	0.0047426827
8100	Na:3	0.925056	0.002510777187	0.834530391	0.004798225533
8200	Na:3	0.92864	0.002332734348	0.8414028209	0.004473110246
8300	Na:3	0.926832	0.002543995757	0.8401545293	0.004723266066
8400	Na:3	0.929992	0.002346076174	0.8446487963	0.004529231659
8500	Na:3	0.927168	0.002472770512	0.8397020985	0.004676288184
8600	Na:3	0.929048	0.002246274705	0.8412958548	0.004426270569
8700	Na:3	0.92764	0.002480093114	0.8393289975	0.004780119802
8800	Na:3	0.929712	0.002381357348	0.8445874917	0.004548761038
8900	Na:3	0.926512	0.002458196115	0.8392675463	0.004662290189
9000	Na:3	0.928768	0.002419664182	0.8422390365	0.004681137549
9100	Na:3	0.933912	0.002275999521	0.8526273865	0.004406328845
9200	Na:3	0.925664	0.002551012807	0.8366041275	0.004827677308
9300	Na:3	0.92812	0.002439494353	0.8409156386	0.004708051136
9400	Na:3	0.921192	0.002651459181	0.8289205635	0.00485898567
9500	Na:3	0.92592	0.002405451641	0.8371359613	0.00458915537
9600	Na:3	0.932528	0.002293762017	0.8488541363	0.004532897129
9700	Na:3	0.933288	0.002217712149	0.8506504211	0.004275246822
9800	Na:3	0.92868	0.002489600504	0.8428119652	0.004787689656
9900	Na:3	0.93008	0.002501775912	0.8465445647	0.004675294807
10000	Na:3	0.931672	0.002250227324	0.846428085	0.004479592468
